ID,Latitude,Longitude,Closest_PC,P_Latitude,P_Longitude
1,43.761185,-79.64213,L6T0A4,43.76068878173828,-79.6490707397461
2,43.73868,-79.64264,L6T5M1,43.73702621459961,-79.6434555053711
3,43.74961,-79.6155,M9W5Y8,43.75006866455078,-79.61626434326172
4,43.727108,-79.61602,M9W7J4,43.72877883911133,-79.6197738647461
5,43.704605,-79.61654,L4V1S6,43.703285217285156,-79.61382293701172
6,43.637093,-79.61809,L4W1B1,43.6384391784668,-79.61748504638672
7,43.760532,-79.588356,M9V5E3,43.758689880371094,-79.58901977539062
8,43.73803,-79.58888,M9V3E2,43.738380432128906,-79.58845520019531
9,43.715527,-79.58941,M9W5H3,43.7154426574707,-79.58990478515625
10,43.693024,-79.589935,M9W7G2,43.69358444213867,-79.58860778808594
11,43.67052,-79.59046,M9W6Z9,43.67210006713867,-79.59305572509766
12,43.648018,-79.59099,M9C3S1,43.64966583251953,-79.5897216796875
13,43.625515,-79.591515,L4X1V8,43.62501525878906,-79.58967590332031
14,43.77145,-79.561195,L4L3R7,43.7696533203125,-79.56134796142578
15,43.748947,-79.56174,M9L1A1,43.74946594238281,-79.56050872802734
16,43.726444,-79.56227,M9W2T4,43.72673416137695,-79.56212615966797
17,43.70394,-79.56281,M9W1E1,43.70273971557617,-79.5618667602539
18,43.68144,-79.56335,M9R3L4,43.681861877441406,-79.56330871582031
19,43.658936,-79.56388,M9B2R5,43.65880584716797,-79.5642318725586
20,43.636433,-79.56442,M9C2K7,43.63644790649414,-79.56458282470703
21,43.61393,-79.56496,M8Y0A3,43.61241912841797,-79.56269073486328
22,43.591427,-79.56549,L5E2N6,43.58950424194336,-79.56675720214844
23,43.78236,-79.53403,L4K5R6,43.78677749633789,-79.52779388427734
24,43.759857,-79.53458,M9L1L5,43.75970458984375,-79.53327178955078
25,43.737354,-79.535126,M9M2M3,43.7386589050293,-79.53508758544922
26,43.71485,-79.535675,M9M1B5,43.71561813354492,-79.5360107421875
27,43.69235,-79.536224,M9P2B2,43.69292068481445,-79.53570556640625
28,43.669846,-79.536766,M9A1W7,43.66958236694336,-79.53697967529297
29,43.647343,-79.537315,M9A1E6,43.64702224731445,-79.53740692138672
30,43.62484,-79.537865,M9C5R3,43.62254333496094,-79.53815460205078
31,43.602337,-79.53841,M8W2B3,43.60319900512695,-79.5386962890625
32,43.579834,-79.53895,M8W3N5,43.58717727661133,-79.53968048095703
33,43.77076,-79.50741,M3J3L1,43.76901626586914,-79.50570678710938
34,43.748257,-79.507965,M3N1J3,43.74839782714844,-79.50724029541016
35,43.725754,-79.50853,M3M1W9,43.725582122802734,-79.50821685791016
36,43.703255,-79.50909,M9N2E4,43.70339584350586,-79.50871276855469
37,43.68075,-79.50964,M9A4J5,43.6802864074707,-79.51036834716797
38,43.65825,-79.5102,M8X2M5,43.658103942871094,-79.50933837890625
39,43.635746,-79.51076,M8Z3S3,43.63582992553711,-79.51118469238281
40,43.613243,-79.511314,M8Z1A5,43.612937927246094,-79.51199340820312
41,43.59074,-79.51186,M8V2A7,43.59431457519531,-79.5102767944336
42,43.78166,-79.48023,M3J2S2,43.78269577026367,-79.47959899902344
43,43.759155,-79.480804,M3J1Z5,43.75813674926758,-79.48114776611328
44,43.736652,-79.48137,M3K2C6,43.73750305175781,-79.48197174072266
45,43.71415,-79.48194,M6L1R5,43.71427917480469,-79.48235321044922
46,43.69165,-79.482506,M6M2A3,43.69271469116211,-79.48068237304688
47,43.669147,-79.48308,M6N1K9,43.669010162353516,-79.4833984375
48,43.646645,-79.48364,M6S3V2,43.6466178894043,-79.48387145996094
49,43.62414,-79.48421,M8Y3H7,43.624515533447266,-79.484130859375
50,43.60164,-79.48477,M8V1G6,43.605037689208984,-79.49142456054688
51,43.792545,-79.45305,L4J4B6,43.79279327392578,-79.45283508300781
52,43.770046,-79.45363,M2R3V4,43.77178955078125,-79.45306396484375
53,43.747543,-79.45421,M3H2V5,43.74639892578125,-79.45391845703125
54,43.72504,-79.45479,M6A2T8,43.72483444213867,-79.45714569091797
55,43.70254,-79.45536,M6B1P9,43.702945709228516,-79.45588684082031
56,43.68004,-79.45594,M6E4S7,43.68089294433594,-79.45706939697266
57,43.657536,-79.45652,M6P2C3,43.65755844116211,-79.45663452148438
58,43.635033,-79.45709,M4L3V9,43.6378288269043,-79.45977783203125
59,43.80343,-79.42585,L4J3V8,43.80430221557617,-79.4244155883789
60,43.78093,-79.42644,M2M1B5,43.78133773803711,-79.42566680908203
61,43.758427,-79.42703,M2N1R2,43.758731842041016,-79.42623138427734
62,43.735928,-79.42762,M5M2X2,43.735774993896484,-79.42866516113281
63,43.713425,-79.42821,M6B3A7,43.71344757080078,-79.4283676147461
64,43.69092,-79.428795,M6C1N3,43.689697265625,-79.42881774902344
65,43.668423,-79.42938,M6H2R1,43.66890335083008,-79.42996978759766
66,43.64592,-79.42997,M6K1P4,43.645965576171875,-79.4300537109375
67,43.623417,-79.43056,M6K3C1,43.632484436035156,-79.43547821044922
68,43.814304,-79.39864,L3T5A6,43.81499481201172,-79.3986587524414
69,43.791805,-79.39925,M2M2J1,43.79290771484375,-79.3997802734375
70,43.769302,-79.39985,M2N7J4,43.76948547363281,-79.39907836914062
71,43.746803,-79.400444,M2P1P9,43.74627685546875,-79.40110778808594
72,43.7243,-79.40105,M4N2P8,43.7247314453125,-79.40052795410156
73,43.7018,-79.40164,M5P2C1,43.70167541503906,-79.4007797241211
74,43.6793,-79.40224,M4V1C7,43.678985595703125,-79.4013671875
75,43.6568,-79.40284,M5T2L6,43.65735626220703,-79.40312957763672
76,43.634296,-79.403435,M5V1A7,43.63579177856445,-79.4030990600586
77,43.611797,-79.40403,M6K3B9,43.63066101074219,-79.41240692138672
78,43.802677,-79.37204,M2H1P1,43.8021354675293,-79.37244415283203
79,43.780174,-79.37265,M2K1Z7,43.779850006103516,-79.37494659423828
80,43.757675,-79.37326,M2L2B7,43.758056640625,-79.37371826171875
81,43.735172,-79.37387,M3B2A3,43.737552642822266,-79.37518310546875
82,43.712673,-79.37448,M4G2N8,43.71274948120117,-79.37504577636719
83,43.69017,-79.375084,M4T2L3,43.69035339355469,-79.37464141845703
84,43.66767,-79.375694,M4X1K9,43.66794967651367,-79.37510681152344
85,43.64517,-79.3763,M5E1T1,43.645137786865234,-79.37632751464844
86,43.62267,-79.37691,M5J1L2,43.62472915649414,-79.37471771240234
87,43.813538,-79.344826,M2H2H6,43.81466293334961,-79.34493255615234
88,43.79104,-79.34544,M2J4G7,43.79102325439453,-79.34552764892578
89,43.76854,-79.34607,M2J1L3,43.769527435302734,-79.34521484375
90,43.746037,-79.34669,M3B1M2,43.7459831237793,-79.34724426269531
91,43.723537,-79.347305,M3C4G3,43.72411346435547,-79.34878540039062
92,43.70104,-79.34792,M4H1C9,43.702449798583984,-79.34778594970703
93,43.678535,-79.34854,M4K3H5,43.67839050292969,-79.34832000732422
94,43.656036,-79.34916,M4M1B6,43.656070709228516,-79.34945678710938
95,43.633533,-79.34978,M5J1X4,43.632301330566406,-79.35356903076172
96,43.611034,-79.35039,M5J1X9,43.62313461303711,-79.361328125
97,43.824394,-79.3176,L3R3N1,43.82400131225586,-79.3178482055664
98,43.801895,-79.31823,M1W2Y4,43.8016242980957,-79.3177490234375
99,43.779396,-79.31886,M1T3S1,43.77846145629883,-79.32005310058594
100,43.756897,-79.319496,M3A1W4,43.75690460205078,-79.31902313232422
101,43.734398,-79.32012,M4A2H6,43.7341194152832,-79.31916809082031
102,43.711895,-79.32075,M3C1A2,43.71223068237305,-79.32365417480469
103,43.689396,-79.32138,M4C2E4,43.68964767456055,-79.32189178466797
104,43.666897,-79.32201,M4L2T7,43.66706848144531,-79.3231201171875
105,43.644394,-79.32263,M4M3B9,43.648380279541016,-79.3280029296875
106,43.621895,-79.32326,M4M3J8,43.63957977294922,-79.33745574951172
107,43.835247,-79.29037,L3R7J3,43.83573913574219,-79.29090118408203
108,43.812748,-79.29101,M1V1R3,43.81181335449219,-79.2895278930664
109,43.79025,-79.29165,M1S1C8,43.79113006591797,-79.29153442382812
110,43.767746,-79.29229,M1R4G1,43.76740646362305,-79.29287719726562
111,43.745247,-79.29293,M1R2E6,43.74473571777344,-79.29318237304688
112,43.722748,-79.29357,M1L4A5,43.7224235534668,-79.29082489013672
113,43.70025,-79.294205,M4B1B1,43.70015335083008,-79.29457092285156
114,43.67775,-79.294846,M4E3V1,43.677406311035156,-79.29502868652344
115,43.655247,-79.29548,M4L3W6,43.66389083862305,-79.30766296386719
116,43.84609,-79.26312,L3S3Y7,43.84684753417969,-79.26458740234375
117,43.82359,-79.26377,M1V4Z7,43.82347869873047,-79.26322937011719
118,43.80109,-79.26443,M1S4A2,43.80148696899414,-79.26371765136719
119,43.77859,-79.265076,M1P3H3,43.779022216796875,-79.2646255493164
120,43.756092,-79.265724,M1P3J7,43.75590896606445,-79.26660919189453
121,43.733593,-79.26638,M1K2P7,43.73273849487305,-79.26663208007812
122,43.711094,-79.26703,M1K1V7,43.710662841796875,-79.2671127319336
123,43.688595,-79.26768,M1N3B4,43.688209533691406,-79.26777648925781
124,43.666096,-79.26832,M4E1A8,43.67121124267578,-79.28072357177734
125,43.834427,-79.23653,M1X2A5,43.83686828613281,-79.23399353027344
126,43.811928,-79.23719,M1B5W1,43.812713623046875,-79.23631286621094
127,43.78943,-79.237854,M1S4B6,43.789310455322266,-79.23869323730469
128,43.76693,-79.23852,M1H2J3,43.76658630371094,-79.23857116699219
129,43.74443,-79.239174,M1J0A4,43.74473571777344,-79.2394790649414
130,43.72193,-79.23984,M1M1W4,43.72208023071289,-79.23963165283203
131,43.699432,-79.24049,M1N3Z5,43.70210266113281,-79.24445343017578
132,43.845257,-79.209274,M1X1N7,43.845787048339844,-79.21117401123047
133,43.82276,-79.20995,M1X1J4,43.82253646850586,-79.20966339111328
134,43.800262,-79.210625,M1B1N4,43.801116943359375,-79.21067810058594
135,43.777763,-79.211296,M1G3V8,43.777870178222656,-79.21154022216797
136,43.755264,-79.21197,M1G1G9,43.755760192871094,-79.21363830566406
137,43.732765,-79.21263,M1M1K1,43.73222351074219,-79.2124252319336
138,43.710266,-79.2133,M1M1E5,43.7195930480957,-79.22640991210938
139,43.856083,-79.182014,M1X1P1,43.8515739440918,-79.18657684326172
140,43.833584,-79.1827,M1X1R3,43.834529876708984,-79.18240356445312
141,43.811085,-79.18338,M1B6E8,43.81050491333008,-79.18488311767578
142,43.78859,-79.18406,M1C1C5,43.788082122802734,-79.18328857421875
143,43.76609,-79.184746,M1E3E4,43.766136169433594,-79.1854248046875
144,43.74359,-79.185425,M1E1R1,43.75019073486328,-79.18704223632812
145,43.844402,-79.15543,L1V0A3,43.842159271240234,-79.16422271728516
146,43.821903,-79.15613,L1V6V7,43.821319580078125,-79.15372467041016
147,43.799408,-79.15682,M1B5X2,43.79903030395508,-79.15779876708984
148,43.77691,-79.15751,M1C1R7,43.7772216796875,-79.1572494506836
149,43.75441,-79.1582,M1E5G7,43.761287689208984,-79.1635971069336
150,43.81022,-79.12957,L1V1N2,43.81071472167969,-79.12974548339844
151,43.78772,-79.13027,M1C3K5,43.787052154541016,-79.13070678710938
152,43.76522,-79.130974,M1C5C2,43.77253341674805,-79.13846588134766
153,43.798527,-79.10302,L1W2C5,43.80559158325195,-79.10369873046875
