ID,Latitude,Longitude,Closest_PC
1,43.761185,-79.64213,L6T0A4
2,43.73868,-79.64264,L6T5M1
3,43.74961,-79.6155,M9W5Y8
4,43.727108,-79.61602,M9W7J4
5,43.704605,-79.61654,L4V1S6
6,43.637093,-79.61809,L4W1B1
7,43.760532,-79.588356,M9V5E3
8,43.73803,-79.58888,M9V3E2
9,43.715527,-79.58941,M9W5H3
10,43.693024,-79.589935,M9W7G2
11,43.67052,-79.59046,M9W6Z9
12,43.648018,-79.59099,M9C3S1
13,43.625515,-79.591515,L4X1V8
14,43.77145,-79.561195,L4L3R7
15,43.748947,-79.56174,M9L1A1
16,43.726444,-79.56227,M9W2T4
17,43.70394,-79.56281,M9W1E1
18,43.68144,-79.56335,M9R3L4
19,43.658936,-79.56388,M9B2R5
20,43.636433,-79.56442,M9C2K7
21,43.61393,-79.56496,M8Y0A3
22,43.591427,-79.56549,L5E2N6
23,43.78236,-79.53403,L4K5R6
24,43.759857,-79.53458,M9L1L5
25,43.737354,-79.535126,M9M2M3
26,43.71485,-79.535675,M9M1B5
27,43.69235,-79.536224,M9P2B2
28,43.669846,-79.536766,M9A1W7
29,43.647343,-79.537315,M9A1E6
30,43.62484,-79.537865,M9C5R3
31,43.602337,-79.53841,M8W2B3
32,43.579834,-79.53895,M8W3N5
33,43.77076,-79.50741,M3J3L1
34,43.748257,-79.507965,M3N1J3
35,43.725754,-79.50853,M3M1W9
36,43.703255,-79.50909,M9N2E4
37,43.68075,-79.50964,M9A4J5
38,43.65825,-79.5102,M8X2M5
39,43.635746,-79.51076,M8Z3S3
40,43.613243,-79.511314,M8Z1A5
41,43.59074,-79.51186,M8V2A7
42,43.78166,-79.48023,M3J2S2
43,43.759155,-79.480804,M3J1Z5
44,43.736652,-79.48137,M3K2C6
45,43.71415,-79.48194,M6L1R5
46,43.69165,-79.482506,M6M2A3
47,43.669147,-79.48308,M6N1K9
48,43.646645,-79.48364,M6S3V2
49,43.62414,-79.48421,M8Y3H7
50,43.60164,-79.48477,M8V1G6
51,43.792545,-79.45305,L4J4B6
52,43.770046,-79.45363,M2R3V4
53,43.747543,-79.45421,M3H2V5
54,43.72504,-79.45479,M6A2T8
55,43.70254,-79.45536,M6B1P9
56,43.68004,-79.45594,M6E4S7
57,43.657536,-79.45652,M6P2C3
58,43.635033,-79.45709,M4L3V9
59,43.80343,-79.42585,L4J3V8
60,43.78093,-79.42644,M2M1B5
61,43.758427,-79.42703,M2N1R2
62,43.735928,-79.42762,M5M2X2
63,43.713425,-79.42821,M6B3A7
64,43.69092,-79.428795,M6C1N3
65,43.668423,-79.42938,M6H2R1
66,43.64592,-79.42997,M6K1P4
67,43.623417,-79.43056,M6K3C1
68,43.814304,-79.39864,L3T5A6
69,43.791805,-79.39925,M2M2J1
70,43.769302,-79.39985,M2N7J4
71,43.746803,-79.400444,M2P1P9
72,43.7243,-79.40105,M4N2P8
73,43.7018,-79.40164,M5P2C1
74,43.6793,-79.40224,M4V1C7
75,43.6568,-79.40284,M5T2L6
76,43.634296,-79.403435,M5V1A7
77,43.611797,-79.40403,M6K3B9
78,43.802677,-79.37204,M2H1P1
79,43.780174,-79.37265,M2K1Z7
80,43.757675,-79.37326,M2L2B7
81,43.735172,-79.37387,M3B2A3
82,43.712673,-79.37448,M4G2N8
83,43.69017,-79.375084,M4T2L3
84,43.66767,-79.375694,M4X1K9
85,43.64517,-79.3763,M5E1T1
86,43.62267,-79.37691,M5J1L2
87,43.813538,-79.344826,M2H2H6
88,43.79104,-79.34544,M2J4G7
89,43.76854,-79.34607,M2J1L3
90,43.746037,-79.34669,M3B1M2
91,43.723537,-79.347305,M3C4G3
92,43.70104,-79.34792,M4H1C9
93,43.678535,-79.34854,M4K3H5
94,43.656036,-79.34916,M4M1B6
95,43.633533,-79.34978,M5J1X4
96,43.611034,-79.35039,M5J1X9
97,43.824394,-79.3176,L3R3N1
98,43.801895,-79.31823,M1W2Y4
99,43.779396,-79.31886,M1T3S1
100,43.756897,-79.319496,M3A1W4
101,43.734398,-79.32012,M4A2H6
102,43.711895,-79.32075,M3C1A2
103,43.689396,-79.32138,M4C2E4
104,43.666897,-79.32201,M4L2T7
105,43.644394,-79.32263,M4M3B9
106,43.621895,-79.32326,M4M3J8
107,43.835247,-79.29037,L3R7J3
108,43.812748,-79.29101,M1V1R3
109,43.79025,-79.29165,M1S1C8
110,43.767746,-79.29229,M1R4G1
111,43.745247,-79.29293,M1R2E6
112,43.722748,-79.29357,M1L4A5
113,43.70025,-79.294205,M4B1B1
114,43.67775,-79.294846,M4E3V1
115,43.655247,-79.29548,M4L3W6
116,43.84609,-79.26312,L3S3Y7
117,43.82359,-79.26377,M1V4Z7
118,43.80109,-79.26443,M1S4A2
119,43.77859,-79.265076,M1P3H3
120,43.756092,-79.265724,M1P3J7
121,43.733593,-79.26638,M1K2P7
122,43.711094,-79.26703,M1K1V7
123,43.688595,-79.26768,M1N3B4
124,43.666096,-79.26832,M4E1A8
125,43.834427,-79.23653,M1X2A5
126,43.811928,-79.23719,M1B5W1
127,43.78943,-79.237854,M1S4B6
128,43.76693,-79.23852,M1H2J3
129,43.74443,-79.239174,M1J0A4
130,43.72193,-79.23984,M1M1W4
131,43.699432,-79.24049,M1N3Z5
132,43.845257,-79.209274,M1X1N7
133,43.82276,-79.20995,M1X1J4
134,43.800262,-79.210625,M1B1N4
135,43.777763,-79.211296,M1G3V8
136,43.755264,-79.21197,M1G1G9
137,43.732765,-79.21263,M1M1K1
138,43.710266,-79.2133,M1M1E5
139,43.856083,-79.182014,M1X1P1
140,43.833584,-79.1827,M1X1R3
141,43.811085,-79.18338,M1B6E8
142,43.78859,-79.18406,M1C1C5
143,43.76609,-79.184746,M1E3E4
144,43.74359,-79.185425,M1E1R1
145,43.844402,-79.15543,L1V0A3
146,43.821903,-79.15613,L1V6V7
147,43.799408,-79.15682,M1B5X2
148,43.77691,-79.15751,M1C1R7
149,43.75441,-79.1582,M1E5G7
150,43.81022,-79.12957,L1V1N2
151,43.78772,-79.13027,M1C3K5
152,43.76522,-79.130974,M1C5C2
153,43.798527,-79.10302,L1W2C5
