IP,PORT
179.185.25.99,39774
200.53.221.25,57468
186.211.182.113,31845
200.255.122.174,8080
131.221.120.196,40624
181.191.202.4,40152
119.82.253.66,42299
149.56.46.173,3128
24.226.159.195,61948
198.27.67.35,3128
51.68.112.254,3128
54.36.117.30,3128
117.232.103.242,56594
103.194.192.42,40511
103.194.192.35,38353
103.224.185.20,37477
122.160.72.92,40610
103.194.192.29,49202
103.79.228.191,40072
45.120.119.14,43493
154.117.146.137,34399
197.98.180.162,51876
77.59.248.61,8080
138.68.246.128,3128
198.183.157.52,80
